id,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,city,state,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,minimum_nights,number_of_reviews,first_review,last_review,date_listed
6291829,"Seattle, Washington, United States",,93,87,f,Queen Anne,1.0,1.0,"['email', 'phone', 'linkedin', 'reviews', 'kba']",t,t,Seattle,WA,House,Entire home/apt,10,3.5,5.0,5.0,Real Bed,700.0,4100.0,21000.0,500.0,250.0,3,5,2015-07-07,2015-08-10,2016-12-22
9218403,"Quilcene, Washington, United States",within a few hours,82,81,f,,1.0,1.0,"['email', 'phone', 'reviews', 'kba']",t,t,Seattle,WA,Condominium,Entire home/apt,1,1.0,1.0,1.0,Real Bed,110.0,750.0,2500.0,,,1,1,2016-01-03,2016-01-03,2016-04-28
4125779,"Seattle, Washington, United States",within an hour,99,70,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews']",t,f,Seattle,WA,House,Private room,3,1.5,1.0,2.0,Real Bed,99.0,568.0,2029.0,,15.0,1,11,2014-09-27,2015-10-18,2016-01-05
8942678,"Seattle, Washington, United States",within a day,99,82,f,Queen Anne,1.0,1.0,"['phone', 'reviews']",t,f,Seattle,WA,House,Entire home/apt,8,2.0,4.0,4.0,Real Bed,450.0,3000.0,13500.0,,,4,1,2015-12-01,2015-12-01,2016-10-25
10106055,"Seattle, Washington, United States",,87,70,f,Queen Anne,1.0,1.0,['phone'],t,f,Seattle,WA,House,Private room,2,1.0,1.0,1.0,Real Bed,75.0,350.0,2250.0,,,1,0,,,2016-09-07
6362362,"Seattle, Washington, United States",,82,75,f,Queen Anne,1.0,1.0,"['email', 'phone', 'reviews']",t,f,Seattle,WA,House,Entire home/apt,5,2.5,3.0,3.0,Real Bed,600.0,4200.0,18000.0,500.0,150.0,3,1,2015-07-20,2015-07-20,2016-10-14
3544550,"Seattle, Washington, United States",within a few hours,71,77,f,Queen Anne,2.0,2.0,"['email', 'phone', 'google', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,8,2.5,3.0,5.0,Real Bed,450.0,3150.0,13500.0,500.0,200.0,4,8,2015-07-04,2015-09-02,2016-10-26
9025039,"Seattle, Washington, United States",within a few hours,97,78,f,Queen Anne,1.0,1.0,"['email', 'phone', 'facebook', 'reviews', 'jumio']",t,t,Seattle,WA,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,150.0,1050.0,4500.0,250.0,35.0,1,0,,,2016-04-23
3200646,"Seattle, Washington, United States",within an hour,73,93,t,Queen Anne,5.0,5.0,"['email', 'phone', 'facebook', 'google', 'linkedin', 'reviews', 'jumio']",t,t,Seattle,WA,Camper/RV,Private room,2,1.0,1.0,1.0,Real Bed,45.0,360.0,1350.0,150.0,25.0,2,80,2014-07-06,2016-01-02,2016-10-27
8859380,"Seattle, Washington, United States",within an hour,84,88,f,Queen Anne,5.0,5.0,"['email', 'phone', 'reviews', 'jumio', 'kba']",t,t,Seattle,WA,Apartment,Entire home/apt,6,2.0,3.0,3.0,Real Bed,300.0,2100.0,9000.0,500.0,125.0,2,6,2015-10-24,2016-01-02,2016-02-29
